date,description,amount,gst_rate,vendor_state,business_state,amount_inclusive_gst,category
2025-02-22,SINV-02-00001 DigiServe Solutions project billing,36191.09,0,KA,KA,false,sales
2025-01-28,SINV-01-00002 Nova Wellness project billing,13977.67,0,MH,KA,false,sales
2025-02-27,SINV-02-00003 Riverfront Wholesale bulk order,67883.17,18,TS,KA,true,sales
2024-11-03,SINV-11-00004 Kite Logistics monthly supply,28875.94,12,DL,KA,false,professional_receipts
2024-09-24,SINV-09-00005 Trinity Healthcare distribution lot,8761.4,12,KA,KA,true,sales
2025-01-08,SINV-01-00006 Jupiter Foods monthly supply,78268.67,18,KA,KA,false,sales
2025-03-05,SINV-03-00007 Horizon Pharma distribution lot,123189.64,18,DL,KA,false,sales
2024-11-19,SINV-11-00008 Lotus Enterprises monthly supply,48321.69,5,GJ,KA,true,sales
2025-02-20,SINV-02-00009 Fresh Basket Mart project billing,38337.42,18,MH,KA,true,sales
2025-03-17,SINV-03-00010 Kite Logistics distribution lot,115120.79,18,DL,KA,true,professional_receipts
2024-05-04,SINV-05-00011 Growthline Agencies distribution lot,71979.56,18,TN,KA,false,sales
2025-02-24,SINV-02-00012 Orbit Fashion House project billing,19604.71,5,TN,KA,false,sales
2025-01-24,SINV-01-00013 Metro Hypermart monthly supply,139633.1,12,KA,KA,true,sales
2024-06-18,SINV-06-00014 Fresh Basket Mart distribution lot,63973.22,18,GJ,KA,true,sales
2024-08-07,SINV-08-00015 Riverfront Wholesale project billing,3906.43,18,DL,KA,false,sales
2025-02-23,SINV-02-00016 Kite Logistics invoice settlement,58546.68,5,GJ,KA,true,sales
2024-07-01,SINV-07-00017 QuickShop Chain project billing,128783.46,18,MH,KA,true,sales
2024-06-18,SINV-06-00018 Lotus Enterprises monthly supply,68573.93,18,GJ,KA,false,sales
2024-09-13,SINV-09-00019 Prime Hardware invoice settlement,116314.58,0,MH,KA,false,sales
2024-04-30,SINV-04-00020 Horizon Pharma monthly supply,139831.54,18,GJ,KA,true,sales
2024-06-04,SINV-06-00021 Evergreen Stores project billing,139816.98,18,TN,KA,true,sales
2024-07-18,SINV-07-00022 Riverfront Wholesale invoice settlement,87008.78,18,TN,KA,false,sales
2024-12-21,SINV-12-00023 Orbit Fashion House bulk order,31526.69,5,GJ,KA,true,sales
2024-07-22,SINV-07-00024 Acme Retail Pvt Ltd invoice settlement,79810.11,0,KA,KA,false,sales
2024-12-20,SINV-12-00025 Horizon Pharma project billing,69398.87,12,GJ,KA,true,sales
2024-11-29,SINV-11-00026 Horizon Pharma invoice settlement,119673.69,18,TN,KA,true,professional_receipts
2024-10-28,SINV-10-00027 Orbit Fashion House monthly supply,10780.45,18,TN,KA,true,sales
2024-09-21,SINV-09-00028 DigiServe Solutions invoice settlement,28896.66,12,TN,KA,true,sales
2024-08-06,SINV-08-00029 CityMed Distributors monthly supply,127458.01,18,MH,KA,true,sales
2024-06-25,SINV-06-00030 Nova Wellness monthly supply,33847.17,18,TN,KA,true,professional_receipts
2024-08-14,SINV-08-00031 Orbit Fashion House distribution lot,87832.46,12,MH,KA,false,sales
2024-07-07,SINV-07-00032 Jupiter Foods monthly supply,9664.2,12,KA,KA,false,professional_receipts
2025-01-25,SINV-01-00033 Prime Hardware monthly supply,126210.66,18,MH,KA,true,sales
2024-05-06,SINV-05-00034 Trinity Healthcare project billing,108072.85,0,MH,KA,false,sales
2025-01-22,SINV-01-00035 Trinity Healthcare invoice settlement,12542.97,0,DL,KA,false,sales
2024-07-14,SINV-07-00036 Kite Logistics invoice settlement,57101.82,12,KA,KA,true,sales
2024-04-05,SINV-04-00037 Orbit Fashion House project billing,84330.73,18,DL,KA,true,sales
2024-06-07,SINV-06-00038 Lotus Enterprises project billing,130048.51,18,TS,KA,true,sales
2024-09-02,SINV-09-00039 Trinity Healthcare project billing,119616.3,18,DL,KA,true,sales
2025-03-06,SINV-03-00040 DigiServe Solutions invoice settlement,22361.78,18,DL,KA,true,sales
2025-02-04,SINV-02-00041 Growthline Agencies distribution lot,32379.99,18,DL,KA,true,sales
2024-04-27,SINV-04-00042 CityMed Distributors bulk order,122832.27,18,TS,KA,true,sales
2024-08-13,SINV-08-00043 Fresh Basket Mart bulk order,82695.4,18,GJ,KA,true,sales
2024-04-19,SINV-04-00044 Lotus Enterprises monthly supply,24356.96,18,DL,KA,true,sales
2024-07-17,SINV-07-00045 Horizon Pharma project billing,54074.25,18,TS,KA,true,sales
2024-06-19,SINV-06-00046 Horizon Pharma monthly supply,122085.24,18,MH,KA,false,sales
2024-09-18,SINV-09-00047 Nova Wellness monthly supply,108347.84,18,TN,KA,false,sales
2024-04-20,SINV-04-00048 Prime Hardware bulk order,114835.68,12,MH,KA,true,sales
2024-04-13,SINV-04-00049 Growthline Agencies invoice settlement,41024.34,12,TS,KA,true,sales
2024-12-17,SINV-12-00050 Metro Hypermart bulk order,124901.22,18,GJ,KA,true,professional_receipts
2024-08-14,SINV-08-00051 Bluecart Traders project billing,55734.06,5,GJ,KA,false,sales
2024-05-30,SINV-05-00052 Metro Hypermart project billing,30425.89,18,GJ,KA,true,sales
2025-03-18,SINV-03-00053 Growthline Agencies invoice settlement,12400.41,12,TS,KA,true,sales
2024-06-03,SINV-06-00054 Jupiter Foods project billing,99349.37,18,MH,KA,true,sales
2024-07-08,SINV-07-00055 Nova Wellness project billing,48945.3,18,DL,KA,false,sales
2024-10-25,SINV-10-00056 Riverfront Wholesale project billing,46875.12,18,TS,KA,true,sales
2024-09-12,SINV-09-00057 Orbit Fashion House bulk order,100611.92,18,TS,KA,true,sales
2024-05-14,SINV-05-00058 Jupiter Foods bulk order,94441.6,18,TS,KA,true,sales
2024-09-06,SINV-09-00059 Horizon Pharma project billing,24250.02,18,KA,KA,true,sales
2024-11-20,SINV-11-00060 Nova Wellness distribution lot,73019.69,18,MH,KA,false,sales
2024-06-15,SINV-06-00061 Acme Retail Pvt Ltd bulk order,107903.97,18,MH,KA,false,sales
2025-03-23,SINV-03-00062 QuickShop Chain bulk order,70782.21,18,TN,KA,false,sales
2025-03-08,SINV-03-00063 QuickShop Chain project billing,75442.91,18,TS,KA,false,sales
2024-12-15,SINV-12-00064 Nova Wellness distribution lot,69614.31,18,TN,KA,false,sales
2024-08-11,SINV-08-00065 Horizon Pharma bulk order,36470.64,18,DL,KA,false,sales
2024-11-12,SINV-11-00066 CityMed Distributors monthly supply,36846.05,18,MH,KA,true,sales
2024-06-17,SINV-06-00067 Horizon Pharma invoice settlement,23764.88,12,GJ,KA,true,sales
2024-11-25,SINV-11-00068 Nova Wellness monthly supply,104529.17,0,GJ,KA,false,sales
2024-10-12,SINV-10-00069 Prime Hardware distribution lot,45590.45,0,GJ,KA,false,sales
2025-01-05,SINV-01-00070 Trinity Healthcare distribution lot,73523.57,18,DL,KA,true,sales
2025-03-09,SINV-03-00071 Metro Hypermart project billing,105461.94,18,KA,KA,false,sales
2024-10-19,SINV-10-00072 Sunrise Superstore distribution lot,6867.6,18,MH,KA,true,sales
2024-04-26,SINV-04-00073 Indus Office Supplies distribution lot,31839.79,12,DL,KA,true,sales
2024-11-02,SINV-11-00074 Indus Office Supplies bulk order,60112.59,18,TS,KA,false,professional_receipts
2024-05-06,SINV-05-00075 Bluecart Traders bulk order,140216.38,18,MH,KA,true,sales
2024-11-29,SINV-11-00076 DigiServe Solutions bulk order,34456.77,18,GJ,KA,true,sales
2025-02-05,SINV-02-00077 DigiServe Solutions invoice settlement,26622.35,18,GJ,KA,true,sales
2025-03-13,SINV-03-00078 Metro Hypermart bulk order,100900.02,12,KA,KA,true,sales
2025-03-23,SINV-03-00079 Jupiter Foods monthly supply,89739.5,18,DL,KA,true,sales
2024-12-29,SINV-12-00080 Nova Wellness distribution lot,12917.7,18,KA,KA,true,professional_receipts
2024-11-08,SINV-11-00081 Lotus Enterprises project billing,104016.65,18,TS,KA,false,sales
2024-08-17,SINV-08-00082 Trinity Healthcare project billing,80742.89,18,DL,KA,true,sales
2024-09-13,SINV-09-00083 Horizon Pharma distribution lot,13116.21,18,GJ,KA,false,sales
2025-02-07,SINV-02-00084 Metro Hypermart invoice settlement,70618.85,12,DL,KA,true,sales
2024-09-22,SINV-09-00085 Indus Office Supplies monthly supply,104306.11,18,MH,KA,true,sales
2024-10-26,SINV-10-00086 Prime Hardware distribution lot,37688.82,18,KA,KA,true,sales
2024-05-18,SINV-05-00087 Jupiter Foods distribution lot,97713.2,12,GJ,KA,true,sales
2024-12-28,SINV-12-00088 Lotus Enterprises invoice settlement,110774.97,18,DL,KA,true,sales
2024-08-07,SINV-08-00089 Horizon Pharma bulk order,27396.15,5,MH,KA,true,sales
2024-07-20,SINV-07-00090 Prime Hardware monthly supply,74724.4,12,MH,KA,false,sales
2024-08-30,SINV-08-00091 Horizon Pharma monthly supply,39527.78,12,KA,KA,false,sales
2025-01-09,SINV-01-00092 Jupiter Foods monthly supply,17969.24,18,GJ,KA,false,sales
2024-08-24,SINV-08-00093 Prime Hardware distribution lot,44236.48,18,KA,KA,false,sales
2024-05-04,SINV-05-00094 Metro Hypermart project billing,86358.41,18,DL,KA,true,sales
2024-05-14,SINV-05-00095 Horizon Pharma bulk order,100951.54,5,GJ,KA,true,sales
2024-10-12,SINV-10-00096 Orbit Fashion House project billing,45932.4,18,GJ,KA,true,sales
2024-05-01,SINV-05-00097 Trinity Healthcare invoice settlement,14656.11,18,TS,KA,false,sales
2024-05-12,SINV-05-00098 Fresh Basket Mart project billing,78533.34,12,TN,KA,true,sales
2024-08-28,SINV-08-00099 Bluecart Traders bulk order,89102.09,12,DL,KA,false,sales
2025-02-15,SINV-02-00100 Sunrise Superstore bulk order,137911.78,18,DL,KA,true,sales
2024-06-12,SINV-06-00101 CityMed Distributors invoice settlement,99597.0,0,TN,KA,false,sales
2024-06-03,SINV-06-00102 Orbit Fashion House distribution lot,88217.38,18,TN,KA,false,sales
2024-05-12,SINV-05-00103 Trinity Healthcare monthly supply,55423.51,0,MH,KA,false,sales
2025-03-12,SINV-03-00104 Sunrise Superstore project billing,5041.32,18,KA,KA,false,sales
2024-06-29,SINV-06-00105 Prime Hardware distribution lot,66874.26,18,TS,KA,true,sales
2024-12-08,SINV-12-00106 CityMed Distributors invoice settlement,61976.72,18,TN,KA,true,sales
2025-03-22,SINV-03-00107 Prime Hardware distribution lot,118286.21,12,KA,KA,false,sales
2024-09-09,SINV-09-00108 Indus Office Supplies monthly supply,135909.34,12,TS,KA,true,sales
2025-01-03,SINV-01-00109 Orbit Fashion House distribution lot,30065.06,18,KA,KA,true,sales
2024-07-14,SINV-07-00110 Indus Office Supplies monthly supply,137045.1,18,KA,KA,true,sales
2025-02-17,SINV-02-00111 Trinity Healthcare monthly supply,105549.11,18,MH,KA,true,professional_receipts
2024-05-29,SINV-05-00112 Orbit Fashion House invoice settlement,96576.44,18,GJ,KA,true,sales
2025-03-28,SINV-03-00113 Indus Office Supplies bulk order,72695.31,18,TN,KA,true,sales
2024-07-07,SINV-07-00114 Trinity Healthcare distribution lot,110217.47,18,DL,KA,false,sales
2024-12-16,SINV-12-00115 Indus Office Supplies distribution lot,43834.38,18,MH,KA,true,sales
2024-11-15,SINV-11-00116 Riverfront Wholesale invoice settlement,43223.89,18,MH,KA,false,sales
2025-03-24,SINV-03-00117 Horizon Pharma distribution lot,31111.4,18,TN,KA,false,professional_receipts
2025-03-06,SINV-03-00118 Evergreen Stores monthly supply,8301.18,18,TN,KA,true,sales
2024-05-22,SINV-05-00119 QuickShop Chain bulk order,5168.5,18,KA,KA,true,sales
2024-11-27,SINV-11-00120 Indus Office Supplies project billing,97839.07,12,TN,KA,true,sales
2024-09-10,SINV-09-00121 Prime Hardware invoice settlement,8139.21,18,MH,KA,true,sales
2024-05-17,SINV-05-00122 Nova Wellness invoice settlement,95645.29,18,KA,KA,false,sales
2024-04-24,SINV-04-00123 Kite Logistics project billing,45356.31,18,TN,KA,true,sales
2025-01-15,SINV-01-00124 Fresh Basket Mart bulk order,12173.62,5,TN,KA,false,sales
2025-01-24,SINV-01-00125 Evergreen Stores distribution lot,90320.52,12,DL,KA,true,sales
