date,description,debit,credit,gst_rate,vendor_state,business_state,eligible_itc,category
2024-07-25,UPI DR TruEdge Consulting food payment 00747,74917.54,,0,TS,KA,false,food
2024-07-25,UPI DR Apex Packaging Works travel payment 00225,14717.94,,18,TS,KA,true,travel
2024-08-14,NEFT CR Nova Wellness invoice receipt 00535,,113231.8,0,TS,KA,false,sales
2024-06-26,NEFT CR Jupiter Foods invoice receipt 01196,,33221.45,18,TS,KA,false,sales
2024-12-22,UPI DR TruEdge Consulting tax payment payment 00535,10012.42,,0,GJ,KA,false,tax_payment
2024-05-05,UPI DR SmartCloud Software purchase payment 00357,29334.76,,18,TN,KA,true,purchase
2024-06-22,NEFT CR Lotus Enterprises invoice receipt 01288,,83291.1,18,GJ,KA,false,sales
2024-11-07,UPI DR FirstFleet Logistics travel payment 00965,24692.48,,18,TS,KA,true,travel
2025-01-03,SELF TRANSFER TO CASH MANAGEMENT 0039,16418.78,,0,KA,KA,false,transfer
2024-08-09,NEFT CR Riverfront Wholesale invoice receipt 00171,,4015.04,18,KA,KA,false,sales
2024-11-26,NEFT CR Prime Hardware invoice receipt 01000,,17140.31,18,MH,KA,false,sales
2024-06-26,UPI DR Jai Stationers utilities payment 00509,91878.39,,18,TN,KA,true,utilities
2024-05-09,UPI DR Insight Marketing LLP software payment 01061,37303.98,,0,MH,KA,true,software
2025-02-23,UPI DR Jai Stationers office expense payment 00541,70774.59,,0,TS,KA,true,office_expense
2025-03-21,NEFT CR Jupiter Foods invoice receipt 00778,,99963.18,18,KA,KA,false,sales
2024-05-17,UPI DR Himalaya Foods Supply utilities payment 00999,1194.1,,18,TS,KA,true,utilities
2024-05-02,UPI DR Delta Office Systems software payment 00074,22924.61,,18,MH,KA,true,software
2024-11-13,NEFT CR Prime Hardware invoice receipt 01366,,63807.42,18,MH,KA,false,sales
2025-03-09,UPI DR Kuber Warehousing software payment 00841,13754.89,,18,GJ,KA,true,software
2025-01-20,UPI DR Jai Stationers software payment 00959,3840.73,,0,TN,KA,true,software
2024-11-04,NEFT CR Riverfront Wholesale invoice receipt 00440,,143577.78,18,MH,KA,false,sales
2024-11-10,UPI DR Global Tech Tools loan payment 00657,69913.16,,0,TN,KA,false,loan
2024-09-20,NEFT CR Lotus Enterprises invoice receipt 00439,,138773.92,0,KA,KA,false,sales
2025-01-22,SELF TRANSFER TO CASH MANAGEMENT 0092,16593.75,,0,KA,KA,false,transfer
2024-11-17,NEFT CR Lotus Enterprises invoice receipt 00613,,148796.26,18,GJ,KA,false,sales
2024-07-19,SELF TRANSFER TO CASH MANAGEMENT 0229,27602.18,,0,KA,KA,false,transfer
2024-12-27,UPI DR Delta Office Systems purchase payment 00201,68674.99,,18,GJ,KA,true,purchase
2024-04-08,UPI DR SmartCloud Software purchase payment 00011,63144.53,,18,MH,KA,true,purchase
2024-11-03,NEFT CR Nova Wellness invoice receipt 01399,,21783.64,18,TN,KA,false,sales
2024-08-06,SELF TRANSFER TO CASH MANAGEMENT 0220,9675.87,,0,KA,KA,false,transfer
2024-08-21,NEFT CR Metro Hypermart invoice receipt 00846,,52444.39,18,KA,KA,false,sales
2024-12-09,UPI DR Jai Stationers utilities payment 00479,31543.71,,0,GJ,KA,true,utilities
2024-05-19,UPI DR Nexa Facility Services utilities payment 00548,34735.63,,0,DL,KA,true,utilities
2024-05-28,UPI DR Kuber Warehousing food payment 00036,45669.65,,18,DL,KA,false,food
2024-11-26,NEFT CR Metro Hypermart invoice receipt 01229,,5512.39,18,KA,KA,false,sales
2024-06-20,UPI DR TruEdge Consulting purchase payment 01220,2874.28,,18,DL,KA,true,purchase
2024-06-06,UPI DR Bharat Transport Co utilities payment 00761,39887.49,,0,GJ,KA,true,utilities
2024-05-16,NEFT CR Acme Retail Pvt Ltd invoice receipt 00355,,29318.77,18,KA,KA,false,sales
2025-03-16,SAVINGS INTEREST CREDIT 0003,,1559.0,0,KA,KA,false,interest
2025-03-27,UPI DR Crystal Print House office expense payment 00981,65391.4,,18,GJ,KA,true,office_expense
2024-10-29,UPI DR SmartCloud Software utilities payment 01184,61503.99,,0,TN,KA,true,utilities
2024-04-30,UPI DR Insight Marketing LLP travel payment 00779,12715.19,,0,GJ,KA,true,travel
2025-01-19,UPI DR FirstFleet Logistics food payment 00487,26195.98,,18,GJ,KA,false,food
2024-11-05,NEFT CR QuickShop Chain invoice receipt 00231,,24649.05,18,TN,KA,false,sales
2024-08-13,NEFT CR Orbit Fashion House invoice receipt 00245,,61316.39,18,TN,KA,false,sales
2024-08-20,UPI DR Mohan Industrial Gases purchase payment 00198,14807.26,,0,TN,KA,true,purchase
2024-10-15,NEFT CR Orbit Fashion House invoice receipt 01279,,44371.8,18,TS,KA,false,sales
2024-04-19,NEFT CR Growthline Agencies invoice receipt 01339,,128706.31,18,MH,KA,false,sales
2024-05-21,NEFT CR Growthline Agencies invoice receipt 00665,,12060.54,18,MH,KA,false,sales
2025-02-20,SELF TRANSFER TO CASH MANAGEMENT 0147,6739.66,,0,KA,KA,false,transfer
2024-06-27,UPI DR Nexa Facility Services food payment 00436,18729.58,,18,DL,KA,false,food
2025-03-09,NEFT CR Fresh Basket Mart invoice receipt 00363,,63254.47,18,TN,KA,false,sales
2025-03-21,UPI DR SmartCloud Software travel payment 00722,38749.41,,18,TS,KA,true,travel
2024-12-29,UPI DR Kuber Warehousing utilities payment 00343,57932.14,,18,DL,KA,true,utilities
