date,description,amount,gst_rate,vendor_state,business_state,amount_inclusive_gst,eligible_itc,category
2024-05-05,PINV-05-00001 Delta Office Systems utilities expense,65510.93,12,KA,KA,true,true,utilities
2024-07-30,PINV-07-00002 Apex Packaging Works utilities expense,72997.48,12,KA,KA,false,true,utilities
2025-03-01,PINV-03-00003 Royal Insurance Brokers purchase expense,56507.27,0,TN,KA,false,true,purchase
2024-06-29,PINV-06-00004 Mohan Industrial Gases office expense expense,29778.28,18,GJ,KA,true,true,office_expense
2024-11-29,PINV-11-00005 LightSpeed Internet software expense,27327.93,12,DL,KA,true,true,software
2024-09-11,PINV-09-00006 Insight Marketing LLP utilities expense,94048.9,18,DL,KA,true,true,utilities
2024-05-15,PINV-05-00007 Nexa Facility Services rent expense,8617.2,12,DL,KA,true,false,rent
2024-11-06,PINV-11-00008 Insight Marketing LLP purchase expense,10446.48,18,GJ,KA,true,true,purchase
2024-07-18,PINV-07-00009 SmartCloud Software purchase expense,36792.02,18,TN,KA,true,true,purchase
2024-04-01,PINV-04-00010 Eco Power Utilities purchase expense,87172.94,5,KA,KA,true,true,purchase
2025-02-13,PINV-02-00011 Pioneer Chemicals purchase expense,10296.32,18,MH,KA,true,true,purchase
2025-01-18,PINV-01-00012 Himalaya Foods Supply loan expense,95023.05,18,TS,KA,true,false,loan
2024-11-19,PINV-11-00013 Mohan Industrial Gases purchase expense,48343.03,18,TN,KA,true,true,purchase
2024-12-08,PINV-12-00014 Pioneer Chemicals purchase expense,98825.64,18,TN,KA,true,true,purchase
2025-02-28,PINV-02-00015 Mohan Industrial Gases office expense expense,81576.25,0,GJ,KA,false,true,office_expense
2024-12-30,PINV-12-00016 TruEdge Consulting travel expense,30732.53,18,MH,KA,false,true,travel
2025-02-18,PINV-02-00017 SmartCloud Software marketing expense,31948.15,18,KA,KA,true,true,marketing
2025-02-17,PINV-02-00018 Mohan Industrial Gases purchase expense,85186.0,5,GJ,KA,true,true,purchase
2025-02-21,PINV-02-00019 Kuber Warehousing purchase expense,5028.04,0,KA,KA,false,true,purchase
2024-09-28,PINV-09-00020 Apex Packaging Works loan expense,32887.79,18,TN,KA,false,false,loan
2024-08-24,PINV-08-00021 Pioneer Chemicals purchase expense,12955.5,0,TN,KA,false,true,purchase
2024-10-20,PINV-10-00022 Jai Stationers purchase expense,44456.1,18,GJ,KA,true,true,purchase
2024-11-16,PINV-11-00023 SmartCloud Software travel expense,89662.16,12,MH,KA,true,true,travel
2024-10-15,PINV-10-00024 LightSpeed Internet travel expense,26822.42,18,KA,KA,true,true,travel
2024-10-26,PINV-10-00025 Himalaya Foods Supply software expense,47917.17,18,TS,KA,true,true,software
2024-10-15,PINV-10-00026 Insight Marketing LLP utilities expense,96630.02,18,KA,KA,true,true,utilities
2025-02-20,PINV-02-00027 SmartCloud Software office expense expense,59520.23,0,MH,KA,false,true,office_expense
2024-04-26,PINV-04-00028 LightSpeed Internet office expense expense,19140.59,18,MH,KA,true,true,office_expense
2024-12-27,PINV-12-00029 FirstFleet Logistics travel expense,43596.6,18,KA,KA,true,true,travel
2024-09-08,PINV-09-00030 TruEdge Consulting purchase expense,72424.88,18,DL,KA,false,true,purchase
2025-02-08,PINV-02-00031 Mohan Industrial Gases software expense,63050.48,12,DL,KA,true,true,software
2024-08-13,PINV-08-00032 Jai Stationers food expense,25502.33,12,GJ,KA,true,true,food
2024-06-02,PINV-06-00033 Mohan Industrial Gases utilities expense,25601.86,18,TS,KA,true,true,utilities
2024-08-11,PINV-08-00034 Insight Marketing LLP utilities expense,55303.68,12,TN,KA,true,true,utilities
2024-08-14,PINV-08-00035 Apex Packaging Works utilities expense,66420.63,18,MH,KA,true,true,utilities
2024-07-24,PINV-07-00036 Bharat Transport Co office expense expense,14103.18,18,TS,KA,true,true,office_expense
2024-07-21,PINV-07-00037 SmartCloud Software office expense expense,77609.78,18,DL,KA,true,true,office_expense
2024-05-22,PINV-05-00038 Himalaya Foods Supply purchase expense,100073.2,18,TN,KA,true,true,purchase
2024-06-06,PINV-06-00039 Bharat Transport Co food expense,41318.18,0,GJ,KA,false,false,food
2024-09-26,PINV-09-00040 Global Tech Tools purchase expense,42235.17,18,GJ,KA,true,true,purchase
2024-06-07,PINV-06-00041 Eco Power Utilities purchase expense,26488.43,0,DL,KA,false,true,purchase
2024-10-13,PINV-10-00042 Crystal Print House purchase expense,48678.86,18,MH,KA,false,true,purchase
2024-09-30,PINV-09-00043 Delta Office Systems purchase expense,62695.7,0,TN,KA,false,true,purchase
2024-09-30,PINV-09-00044 QuickFix Maintenance food expense,32388.5,12,TN,KA,true,false,food
2024-04-02,PINV-04-00045 Royal Insurance Brokers rent expense,9216.1,18,KA,KA,true,false,rent
2024-08-12,PINV-08-00046 LightSpeed Internet utilities expense,62480.18,5,MH,KA,true,true,utilities
2024-05-14,PINV-05-00047 Crystal Print House purchase expense,32288.68,18,DL,KA,false,true,purchase
2024-07-03,PINV-07-00048 Global Tech Tools tax payment expense,60279.16,5,MH,KA,true,true,tax_payment
2024-09-06,PINV-09-00049 Omkar Repairs purchase expense,20857.81,12,DL,KA,true,true,purchase
2024-07-28,PINV-07-00050 Omkar Repairs food expense,74733.69,18,GJ,KA,true,false,food
2024-04-15,PINV-04-00051 Bharat Transport Co utilities expense,95310.39,18,TS,KA,true,true,utilities
2024-06-12,PINV-06-00052 SmartCloud Software marketing expense,56021.38,12,TS,KA,true,true,marketing
2024-05-16,PINV-05-00053 Pioneer Chemicals travel expense,45063.65,12,KA,KA,true,true,travel
2024-09-02,PINV-09-00054 Global Tech Tools marketing expense,20338.32,0,DL,KA,false,true,marketing
2024-04-25,PINV-04-00055 FirstFleet Logistics purchase expense,94794.14,18,DL,KA,true,true,purchase
2024-07-02,PINV-07-00056 Omkar Repairs loan expense,75963.83,18,MH,KA,true,false,loan
2024-12-23,PINV-12-00057 Eco Power Utilities office expense expense,13252.35,5,TN,KA,true,true,office_expense
2025-01-19,PINV-01-00058 Delta Office Systems purchase expense,24131.81,18,DL,KA,true,true,purchase
2024-10-27,PINV-10-00059 Omkar Repairs travel expense,11495.31,18,TN,KA,false,true,travel
2024-10-04,PINV-10-00060 Apex Packaging Works travel expense,78140.66,18,DL,KA,true,true,travel
2024-09-09,PINV-09-00061 Himalaya Foods Supply marketing expense,24495.9,0,KA,KA,false,true,marketing
2024-05-11,PINV-05-00062 FirstFleet Logistics marketing expense,56408.22,18,TN,KA,true,true,marketing
